ProcessName,Processpath,Module,Hash,Signature
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\ucrtbase.dll,D188F70EE6335141BDE6923C631FDB0DFBBCBD06E225131AAE6151492AB0B340,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\USERENV.dll,95CCB4F548BBFF40DA78AC3CBC7EBD65ED54BCB8953CB0FFDEC6365A4E167030,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\wdigest.DLL,E1175075E7F9BA570FAB27A3423438511C0E38448E594784E0D643A35966AC49,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\wevtapi.dll,241DFDBF8D86CCE177D213B6AF3193F3265BB59DA13DE73612BF0FC2E20BE9EA,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\winbio.dll,D980A8DE24FBA6A722E8A43A6B55EE0FEF0F26CDF486FE344A025853C91B85DF,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\WINSTA.dll,D0C81619EDE8B846D98417989684EF16DF3A053CC049C7281E40F3359AD5B570,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\WLDAP32.dll,B0795A04E35E381B0F88E88FFB74D36C3EA1BEB888E4D8FA69BE2F9196154A3C,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\WS2_32.dll,7D893A42A660436263DE713987BB1E81D6D38C00460F93206CBB8777C4002C7E,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\advapi32.dll,C88EB32E0E06D9DAAB48A123212FE341B303613B4D9AB2F330B96357C722BD58,NULL
msdtc,C:\windows\System32\msdtc.exe,c:\windows\system32\bcrypt.dll,24CDED04F5493C55A675B1165459CA2994A6A09A33EBAF7C34442791CF96CEDC,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\bcryptPrimitives.dll,676475F2363D5134E1E6FD936657B6F753830E142392D2D3A37467E6800281BA,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\cfgmgr32.dll,071E00374806E043A2E78E88C7FDDCE8F5983DE665DF41F3B3210660BF2EF704,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\clbcatq.dll,A78284317D3529371291712772C8CA0A7DC01B7CEF47EC079ECC2FC76ABA6547,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\CLUSAPI.dll,054E1510BED4C68C104E0F838CC07A640632DB27F9810A1151246FE4131F0B45,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\combase.dll,447FEA906B582FB639DEB5FB8890E0FDDB27E913C5AEB67E34BE26085A5D7540,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\COMRES.DLL,BDB6F733992CD4E6570249F97F2DA366EB1FFE412E22D4148243A565126A6E61,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\SYSTEM32\cryptsp.dll,DD7EBCFB0645D7D10164EB7D78B2D15E20ED2DB34A2A74C654DEF786E4902498,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\cscapi.dll,06729F1E0A0596620B48B6DC4A2CC9CC5FE55B17BD488C71F7F15AA4262C8C14,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\system32\DNSAPI.dll,E982390627FCF51BF42DEEA5FF36C36505E2CC3E4E7C34D99504DF0C5592D76C,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\FirewallAPI.DLL,EDEADDB2BACA0E917414E40B1E2BA88C98C5C967A7719A8F327060D1B015A7D5,NULL
msdtc,C:\windows\System32\msdtc.exe,c:\windows\system32\fwbase.dll,2305E780D161A736DB237727AC78EC1D2462793FD5013D126621B4BBBB16D743,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\FWPolicyIOMgr.dll,7FB39020739D3AA8A78A3916556A823FA6C48C4309877D5867714AEDD5DE35B5,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\GDI32.dll,23E2C55C4CBB4E8E7644BD42929BECA074445546D611A29AB6047214EF087020,NULL
