Process,Processpath,DLL,DllHash,Signature
fontdrvhost,C:\windows\system32\fontdrvhost.exe,C:\windows\System32\KERNELBASE.dll,E91161625A4EAEDD062532C55486F1336C60267EBD50043A209843C4D1902EF8,NULL
fontdrvhost,C:\windows\system32\fontdrvhost.exe,C:\windows\System32\msvcp_win.dll,E8D763341FF4395CD5E3B503490F53B3349A122148C01ED5AA1450528AD4931E,NULL
fontdrvhost,C:\windows\system32\fontdrvhost.exe,C:\windows\SYSTEM32\ntdll.dll,5B58F50147A78AB76127030D8AD745AC2EC1BDE2487BF379430A6E8A79A20CC2,NULL
fontdrvhost,C:\windows\system32\fontdrvhost.exe,C:\windows\System32\ucrtbase.dll,E2267734B6FF4A08D6C619B9E9D173B9ACD46681602D88979A4866A4CA63DD46,NULL
fontdrvhost,C:\windows\system32\fontdrvhost.exe,C:\windows\System32\user32.dll,DA784E3F5B59C3CADDCCBB61CD1C206B5747223E4E02FD73BC0E8D0AA0268906,NULL
fontdrvhost,C:\windows\system32\fontdrvhost.exe,C:\windows\System32\win32u.dll,208FBE0136AEBC989748B526A4BB0C656B73A10E46EF640A93E3AB8F02358B98,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\advapi32.dll,FAE7F170429952777D45641E68F4E0B8E5CE31A38159179CB17B2CB84D8E63F0,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\AUTHZ.dll,7EF8B4867209DCBBF279EA4929FCB428886ACAF7DE47E6CF665D926BBEB240D4,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\bcrypt.dll,4682B99FD63617241BDE436554C5B9D2BA0247BE4ED958EF05785D1A12E50E01,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\bcryptPrimitives.dll,045679986C4ECB5D3148B3303076EDF2FEC47F52C775F9F077106830426DC6D0,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\combase.dll,8BADF8E4E018394A9003BE5428A7420A534E7265CC6F545AF1EF2AFB532ED4E4,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\CRYPT32.dll,12AE93F2B5CB784E9DCA1958AB75900A7A879EDCEE7F33959BCF1772ECD4F718,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\CRYPTBASE.dll,F53C04CF0EE4943D4EA82D94604CB46816BEB53545D3357C718D2A46516B1BDB,NULL
