Process,Processpath,DLL,DllHash,Signature
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\OLEAUT32.dll,16F22C87393DBEAFABA7F7C5239EC12AF9E4FA99DDFCE8B2A8240C598AB4249E,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\SYSTEM32\ondemandconnroutehelper.dll,7D62F9B2E4857803079A5A1156F64194596CC501CCA0A958988E93CD35F89FE3,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\Windows\System32\OneCoreUAPCommonProxyStub.dll,7F2D7EF2856D0EE8E71E0684D1DE2938DF309B1B44FA83CB99472DE5271B4508,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\SYSTEM32\policymanager.dll,3BE1AC18A5F6DC9833C5BDC72A21716E2C246ED97485749693843E2B59E9DA4F,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\powrprof.dll,F9C97CFFAB7D3A61175F902CF0062CA945BC8CECFC825BF3B6096864855D43D9,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\profapi.dll,14B733E344394B1C5753AF0E58026B50BCFB19868F9380197442FDABA4BC974E,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\SYSTEM32\profext.dll,EB851932931F5DF8C289B66795B0B50A2C4DC172CD7EB245BCA4BCFB5A65F2B3,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\PROPSYS.dll,99A6911C87DF3A942F46D6CB1E156DBE7958F1C42B3A99CA3A592E8FEA4F0A77,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\Windows\System32\rasadhlp.dll,8899B7C7268188F33BCB639CD58FB14DAB6E39A0EB5C4A0C587E779F74A03D15,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\Windows\System32\RMCLIENT.dll,C0B024DFB029D655FD4EC505316FEB0CACA305219616A8EF76E67650916D148C,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\SYSTEM32\rometadata.dll,8B85ABC3A828FDD1C78F35F83EDB7FFDF67D8B2D1672095061DBADAF3E01E17B,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\RPCRT4.dll,74656439887E9D377BA5F1FBC8E0D71795B5A59EC190DE014F83D5C3D20CF308,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\system32\rsaenh.dll,4B925FCAF87C3D539292319AB9BAE6EABF2FEA5B7A7FDB364BC2648E1B5F6AE8,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\system32\schannel.DLL,CD8DBC2B6D5B2DA26E5AAC58E211D7469712374FD886BD8CCDF635E456D90581,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\sechost.dll,1690C0AF6E6AA9925AC75DA610053AEB50F060A872A702F8F97AF3B5B79CFA7B,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\shcore.dll,462083FAF17D701F8F337B73F09A60A8CB0643AED8B050873B45B73BCA4D7486,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\SHELL32.dll,9D2ACDBFCCF2B70C4E69114D73D33189037A298FEF80F2ADF841601649CAE6F7,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\shlwapi.dll,F9BA12ACCE850AFFC6C9F1EC81568A57DE50C0B7317B4C4C3955A0CA8F707B25,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\SYSTEM32\srpapi.dll,15BC68BF3F422B61EA685325452A142295A27CF92CB8D2849168A90F17787B45,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\SYSTEM32\srvcli.dll,9A164C79A6BA513C56533629929D69D5EC74B05262178599C3352EFD717E153F,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\Windows\System32\SspiCli.dll,FF5277B0C9BDF1F6E63037846A3D24F931BFD26D18C05CABEC5C6CD2AE05430D,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\StructuredQuery.dll,4AA8B06792F071E1CC8881224C7FF3C794712E98FA5F80827727151C30F2D719,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\ucrtbase.dll,E2267734B6FF4A08D6C619B9E9D173B9ACD46681602D88979A4866A4CA63DD46,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\Windows\System32\urlmon.dll,5EB51996BBE6B334AF881BF0B2FF6DB8E42D3D1A210DA29C88D53A20ACCE2F58,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\user32.dll,DA784E3F5B59C3CADDCCBB61CD1C206B5747223E4E02FD73BC0E8D0AA0268906,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\System32\USERENV.dll,FDE8CCBA098FA7873A641E6980592DEB58894643742CB0EE12DC50E375DB4307,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\windows\system32\uxtheme.dll,A635109301F1013287C203CFC50484C87AC8E446C8924F1FB3D21B2080F57BD5,NULL
browser_broker,C:\windows\system32\browser_broker.exe,C:\Windows\System32\vaultcli.dll,B3F7CE3225DA593D5EFF3DA0557EDB25E715AFEECA80BEA632C8D8E918CA2148,NULL
